model,block_layer,stage,pooling,condition,source_language,target_language,metric,value,k,n_train,n_eval
Qwen/Qwen2.5-0.5B,7,output,mean,geometry,,,stable_rank,1.029896591835518,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,en,ko,r1,0.009765625,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,en,ko,mrr,0.03497657987902706,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,en,ja,r1,0.044921875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,en,ja,mrr,0.08207938219050277,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,en,zh,r1,0.76953125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,en,zh,mrr,0.7965135485454118,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,ko,en,r1,0.556640625,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,ko,en,mrr,0.6533674010556669,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,ko,ja,r1,0.767578125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,ko,ja,mrr,0.8153987397740285,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,ko,zh,r1,0.38671875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,ko,zh,mrr,0.48519396412416016,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,ja,en,r1,0.76171875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,ja,en,mrr,0.8233614760606245,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,ja,ko,r1,0.5703125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,ja,ko,mrr,0.6270584970722923,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,ja,zh,r1,0.677734375,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,ja,zh,mrr,0.7435792114895353,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,zh,en,r1,0.837890625,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,zh,en,mrr,0.8689098474323332,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,zh,ko,r1,0.0390625,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,zh,ko,mrr,0.07418439703464981,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,zh,ja,r1,0.126953125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,zh,ja,mrr,0.1776086522545252,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,per-language-centered,en,ko,r1,0.408203125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,per-language-centered,en,ko,mrr,0.4480894812372027,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,per-language-centered,en,ja,r1,0.443359375,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,per-language-centered,en,ja,mrr,0.4832247195080014,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,per-language-centered,en,zh,r1,0.625,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,per-language-centered,en,zh,mrr,0.6456365733254636,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,per-language-centered,ko,en,r1,0.509765625,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,per-language-centered,ko,en,mrr,0.5405979836105503,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,per-language-centered,ko,ja,r1,0.521484375,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,per-language-centered,ko,ja,mrr,0.5561099441383848,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,per-language-centered,ko,zh,r1,0.50390625,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,per-language-centered,ko,zh,mrr,0.5354987630307484,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,per-language-centered,ja,en,r1,0.517578125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,per-language-centered,ja,en,mrr,0.5444955040062783,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,per-language-centered,ja,ko,r1,0.5,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,per-language-centered,ja,ko,mrr,0.5322225494284656,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,per-language-centered,ja,zh,r1,0.5546875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,per-language-centered,ja,zh,mrr,0.5780928856454336,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,per-language-centered,zh,en,r1,0.5390625,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,per-language-centered,zh,en,mrr,0.5654304924884059,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,per-language-centered,zh,ko,r1,0.326171875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,per-language-centered,zh,ko,mrr,0.37145207374227585,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,per-language-centered,zh,ja,r1,0.4375,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,per-language-centered,zh,ja,mrr,0.47979176339820995,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,,,language_probe_accuracy,1.0,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,raw,,,language_probe_macro_f1,1.0,3,1024,2048
Qwen/Qwen2.5-0.5B,7,post_attention,last_token,geometry,,,centroid_separation,5.214681625366211,3,1024,2048
Qwen/Qwen2.5-0.5B,7,post_attention,last_token,geometry,,,centroid_norm,11.078873634338379,3,1024,2048
