model,layer,normalized_depth,pooling,condition,seed,source_language,target_language,metric,value,n_train,n_eval,record_type,comparison,ci_lower,ci_upper,n_resamples
trillionlabs/Tri-0.5B-Base,24,1.0,mean,normal,,ja,en,r1,0.33984375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,mean,normal,,ja,en,mrr,0.45869720579135986,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,mean,normal,,ja,ko,r1,0.02734375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,mean,normal,,ja,ko,mrr,0.14643959357302663,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,mean,normal,,ja,zh,r1,0.125,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,mean,normal,,ja,zh,mrr,0.2705448573936269,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,mean,normal,,zh,en,r1,0.216796875,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,mean,normal,,zh,en,mrr,0.36251943554657406,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,mean,normal,,zh,ko,r1,0.11328125,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,mean,normal,,zh,ko,mrr,0.19839174796660952,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,mean,normal,,zh,ja,r1,0.029296875,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,mean,normal,,zh,ja,mrr,0.1255670302729355,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,remove_language,,en,ko,r1,0.671875,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,remove_language,,en,ko,mrr,0.7582817177413232,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,remove_language,,en,ja,r1,0.5703125,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,remove_language,,en,ja,mrr,0.660161889721832,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,remove_language,,en,zh,r1,0.626953125,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,remove_language,,en,zh,mrr,0.7262567317702547,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,remove_language,,ko,en,r1,0.779296875,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,remove_language,,ko,en,mrr,0.8379591859664571,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,remove_language,,ko,ja,r1,0.580078125,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,remove_language,,ko,ja,mrr,0.6527326078804638,1024,2048,metric,,,,
