model,layer,normalized_depth,pooling,condition,status,metric,value,n_train,n_eval,directions
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,delta,ok,r10,0.041829427083333336,256,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,raw,ok,mrr,0.1166705642973521,256,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,centered,ok,mrr,0.21749149777304136,256,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,centered_delta,ok,mrr,0.10082093347568931,256,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,aligned,ok,mrr,0.12459794685822882,256,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,delta,ok,mrr,0.007927382560876706,256,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,raw,ok,r1,0.4334309895833333,256,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,centered,ok,r1,0.6686197916666666,256,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,centered_delta,ok,r1,0.23518880208333334,256,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,aligned,ok,r1,0.439453125,256,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,delta,ok,r1,0.006022135416666667,256,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,raw,ok,r5,0.60888671875,256,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,centered,ok,r5,0.8287760416666666,256,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,centered_delta,ok,r5,0.21988932291666666,256,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,aligned,ok,r5,0.6902669270833334,256,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,delta,ok,r5,0.08138020833333333,256,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,raw,ok,r10,0.6735026041666666,256,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,centered,ok,r10,0.8761393229166666,256,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,centered_delta,ok,r10,0.20263671875,256,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,aligned,ok,r10,0.7779947916666666,256,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,delta,ok,r10,0.1044921875,256,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,raw,ok,mrr,0.5163848366602392,256,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,centered,ok,mrr,0.742860744554747,256,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,centered_delta,ok,mrr,0.2264759078945079,256,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,aligned,ok,mrr,0.5534074289230745,256,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,last_token,delta,ok,mrr,0.037022592262835545,256,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,last_token,raw,ok,r1,0.4578450520833333,256,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,last_token,centered,ok,r1,0.689453125,256,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,last_token,centered_delta,ok,r1,0.23160807291666666,256,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,last_token,aligned,ok,r1,0.451171875,256,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,last_token,delta,ok,r1,-0.006673177083333333,256,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,last_token,raw,ok,r5,0.6404622395833334,256,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,last_token,centered,ok,r5,0.8400065104166666,256,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,last_token,centered_delta,ok,r5,0.19954427083333334,256,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,last_token,aligned,ok,r5,0.705078125,256,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,last_token,delta,ok,r5,0.06461588541666667,256,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,last_token,raw,ok,r10,0.7044270833333334,256,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,last_token,centered,ok,r10,0.8859049479166666,256,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,last_token,centered_delta,ok,r10,0.18147786458333334,256,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,last_token,aligned,ok,r10,0.7936197916666666,256,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,last_token,delta,ok,r10,0.08919270833333333,256,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,last_token,raw,ok,mrr,0.5433144126111326,256,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,last_token,centered,ok,mrr,0.7578957738062612,256,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,last_token,centered_delta,ok,mrr,0.2145813611951286,256,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,last_token,aligned,ok,mrr,0.5658007802384569,256,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,last_token,delta,ok,mrr,0.022486367627324342,256,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,raw,ok,r1,0.5572916666666666,256,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,centered,ok,r1,0.740234375,256,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,centered_delta,ok,r1,0.18294270833333334,256,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,aligned,ok,r1,0.5388997395833334,256,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,delta,ok,r1,-0.018391927083333332,256,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,raw,ok,r5,0.7267252604166666,256,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,centered,ok,r5,0.8771158854166666,256,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,centered_delta,ok,r5,0.150390625,256,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,aligned,ok,r5,0.7716471354166666,256,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,delta,ok,r5,0.044921875,256,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,raw,ok,r10,0.78125,256,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,centered,ok,r10,0.9156901041666666,256,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,centered_delta,ok,r10,0.13444010416666666,256,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,aligned,ok,r10,0.8465169270833334,256,512,12
