model,layer,normalized_depth,pooling,condition,train_language,test_language,metric,value,accuracy,macro_f1,english_score,transfer_gap,n_train,n_centroid_samples,n_eval,n_classes
trillionlabs/Tri-0.5B-Base,0,0.0,mean,global-centered,en,zh,accuracy,0.31333333333333335,0.31333333333333335,0.2402890270845092,0.7573333333333333,0.44399999999999995,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,mean,global-centered,en,zh,macro_f1,0.2402890270845092,0.31333333333333335,0.2402890270845092,0.7147529060579491,0.4744638789734399,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,mean,per-language-centered,en,en,accuracy,0.7573333333333333,0.7573333333333333,0.7147529060579491,0.7573333333333333,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,mean,per-language-centered,en,en,macro_f1,0.7147529060579491,0.7573333333333333,0.7147529060579491,0.7147529060579491,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,mean,per-language-centered,en,ko,accuracy,0.31133333333333335,0.31133333333333335,0.2680366829115472,0.7573333333333333,0.44599999999999995,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,mean,per-language-centered,en,ko,macro_f1,0.2680366829115472,0.31133333333333335,0.2680366829115472,0.7147529060579491,0.44671622314640186,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,mean,per-language-centered,en,ja,accuracy,0.29933333333333334,0.29933333333333334,0.24617676851551176,0.7573333333333333,0.45799999999999996,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,mean,per-language-centered,en,ja,macro_f1,0.24617676851551176,0.29933333333333334,0.24617676851551176,0.7147529060579491,0.4685761375424373,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,mean,per-language-centered,en,zh,accuracy,0.3526666666666667,0.3526666666666667,0.2778587467757364,0.7573333333333333,0.4046666666666666,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,mean,per-language-centered,en,zh,macro_f1,0.2778587467757364,0.3526666666666667,0.2778587467757364,0.7147529060579491,0.43689415928221265,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,6,0.25,mean,raw,en,en,accuracy,0.7986666666666666,0.7986666666666666,0.7388779987457708,0.7986666666666666,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,6,0.25,mean,raw,en,en,macro_f1,0.7388779987457708,0.7986666666666666,0.7388779987457708,0.7388779987457708,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,6,0.25,mean,raw,en,ko,accuracy,0.5513333333333333,0.5513333333333333,0.48435818378519657,0.7986666666666666,0.2473333333333333,3000,3000,1500,60
