model,layer,relative_position,source_language,target_language,metric,value,n
trillionlabs/Tri-0.5B-Base,9,0.75,ko,zh,r1,0.060546875,512
trillionlabs/Tri-0.5B-Base,9,0.75,ja,en,r1,0.08203125,512
trillionlabs/Tri-0.5B-Base,9,0.75,ja,ko,r1,0.142578125,512
trillionlabs/Tri-0.5B-Base,9,0.75,ja,zh,r1,0.068359375,512
trillionlabs/Tri-0.5B-Base,9,0.75,zh,en,r1,0.1171875,512
trillionlabs/Tri-0.5B-Base,9,0.75,zh,ko,r1,0.048828125,512
trillionlabs/Tri-0.5B-Base,9,0.75,zh,ja,r1,0.080078125,512
trillionlabs/Tri-0.5B-Base,4,1.0,en,ko,r1,0.0546875,512
trillionlabs/Tri-0.5B-Base,4,1.0,en,ja,r1,0.013671875,512
trillionlabs/Tri-0.5B-Base,4,1.0,en,zh,r1,0.04296875,512
trillionlabs/Tri-0.5B-Base,4,1.0,ko,en,r1,0.06640625,512
trillionlabs/Tri-0.5B-Base,4,1.0,ko,ja,r1,0.009765625,512
trillionlabs/Tri-0.5B-Base,4,1.0,ko,zh,r1,0.0234375,512
trillionlabs/Tri-0.5B-Base,4,1.0,ja,en,r1,0.01953125,512
trillionlabs/Tri-0.5B-Base,4,1.0,ja,ko,r1,0.025390625,512
trillionlabs/Tri-0.5B-Base,4,1.0,ja,zh,r1,0.0390625,512
trillionlabs/Tri-0.5B-Base,4,1.0,zh,en,r1,0.076171875,512
trillionlabs/Tri-0.5B-Base,4,1.0,zh,ko,r1,0.0234375,512
trillionlabs/Tri-0.5B-Base,4,1.0,zh,ja,r1,0.015625,512
trillionlabs/Tri-0.5B-Base,5,1.0,en,ko,r1,0.060546875,512
trillionlabs/Tri-0.5B-Base,5,1.0,en,ja,r1,0.013671875,512
trillionlabs/Tri-0.5B-Base,5,1.0,en,zh,r1,0.033203125,512
trillionlabs/Tri-0.5B-Base,5,1.0,ko,en,r1,0.060546875,512
trillionlabs/Tri-0.5B-Base,5,1.0,ko,ja,r1,0.01171875,512
trillionlabs/Tri-0.5B-Base,5,1.0,ko,zh,r1,0.0234375,512
trillionlabs/Tri-0.5B-Base,5,1.0,ja,en,r1,0.025390625,512
trillionlabs/Tri-0.5B-Base,5,1.0,ja,ko,r1,0.01953125,512
trillionlabs/Tri-0.5B-Base,5,1.0,ja,zh,r1,0.041015625,512
trillionlabs/Tri-0.5B-Base,5,1.0,zh,en,r1,0.0859375,512
trillionlabs/Tri-0.5B-Base,5,1.0,zh,ko,r1,0.041015625,512
trillionlabs/Tri-0.5B-Base,5,1.0,zh,ja,r1,0.017578125,512
trillionlabs/Tri-0.5B-Base,6,1.0,en,ko,r1,0.068359375,512
trillionlabs/Tri-0.5B-Base,6,1.0,en,ja,r1,0.01953125,512
trillionlabs/Tri-0.5B-Base,6,1.0,en,zh,r1,0.08203125,512
trillionlabs/Tri-0.5B-Base,6,1.0,ko,en,r1,0.109375,512
trillionlabs/Tri-0.5B-Base,6,1.0,ko,ja,r1,0.033203125,512
trillionlabs/Tri-0.5B-Base,6,1.0,ko,zh,r1,0.033203125,512
trillionlabs/Tri-0.5B-Base,6,1.0,ja,en,r1,0.05078125,512
trillionlabs/Tri-0.5B-Base,6,1.0,ja,ko,r1,0.06640625,512
trillionlabs/Tri-0.5B-Base,6,1.0,ja,zh,r1,0.0625,512
trillionlabs/Tri-0.5B-Base,6,1.0,zh,en,r1,0.21484375,512
trillionlabs/Tri-0.5B-Base,6,1.0,zh,ko,r1,0.05859375,512
trillionlabs/Tri-0.5B-Base,6,1.0,zh,ja,r1,0.03515625,512
trillionlabs/Tri-0.5B-Base,7,1.0,en,ko,r1,0.56640625,512
trillionlabs/Tri-0.5B-Base,7,1.0,en,ja,r1,0.359375,512
trillionlabs/Tri-0.5B-Base,7,1.0,en,zh,r1,0.5234375,512
trillionlabs/Tri-0.5B-Base,7,1.0,ko,en,r1,0.4765625,512
trillionlabs/Tri-0.5B-Base,7,1.0,ko,ja,r1,0.330078125,512
trillionlabs/Tri-0.5B-Base,7,1.0,ko,zh,r1,0.23046875,512
trillionlabs/Tri-0.5B-Base,7,1.0,ja,en,r1,0.521484375,512
trillionlabs/Tri-0.5B-Base,7,1.0,ja,ko,r1,0.484375,512
trillionlabs/Tri-0.5B-Base,7,1.0,ja,zh,r1,0.38671875,512
trillionlabs/Tri-0.5B-Base,7,1.0,zh,en,r1,0.599609375,512
