model,layer,normalized_depth,pooling,language,source_language,target_language,n,metric,value
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,en,zh,512,cosine_margin,0.0398712158203125
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,ko,en,512,matched_cosine,0.8560203313827515
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,ko,en,512,unmatched_cosine,0.8310149908065796
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,ko,en,512,cosine_margin,0.025005340576171875
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,ko,ja,512,matched_cosine,0.8617703914642334
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,ko,ja,512,unmatched_cosine,0.8455662131309509
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,ko,ja,512,cosine_margin,0.01620417833328247
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,ko,zh,512,matched_cosine,0.8191452026367188
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,ko,zh,512,unmatched_cosine,0.7977850437164307
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,ko,zh,512,cosine_margin,0.021360158920288086
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,ja,en,512,matched_cosine,0.8005169630050659
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,ja,en,512,unmatched_cosine,0.7829543352127075
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,ja,en,512,cosine_margin,0.0175626277923584
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,ja,ko,512,matched_cosine,0.8617703914642334
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,ja,ko,512,unmatched_cosine,0.8458544015884399
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,ja,ko,512,cosine_margin,0.015915989875793457
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,ja,zh,512,matched_cosine,0.8494912981987
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,ja,zh,512,unmatched_cosine,0.8304356336593628
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,ja,zh,512,cosine_margin,0.019055664539337158
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,zh,en,512,matched_cosine,0.8607180118560791
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,zh,en,512,unmatched_cosine,0.8211906552314758
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,zh,en,512,cosine_margin,0.03952735662460327
