model,pooling,layer,target_language,metric,retrieval_raw,retrieval_centered,retrieval_gain,transfer_raw,transfer_centered,transfer_gain,pearson_r,spearman_r
trillionlabs/Tri-0.5B-Base,mean,0,ko,accuracy,0.6282552083333334,0.6845052083333333,0.05624999999999991,0.308,0.31133333333333335,0.003333333333333355,0.5949899608896733,0.7360175670948295
trillionlabs/Tri-0.5B-Base,mean,0,zh,accuracy,0.6119791666666666,0.7006510416666667,0.08867187500000007,0.31333333333333335,0.3526666666666667,0.03933333333333333,0.5949899608896733,0.7360175670948295
trillionlabs/Tri-0.5B-Base,mean,6,ja,accuracy,0.7610677083333334,0.94921875,0.18815104166666663,0.5426666666666666,0.5846666666666667,0.04200000000000004,0.5949899608896733,0.7360175670948295
trillionlabs/Tri-0.5B-Base,mean,6,ko,accuracy,0.748046875,0.9428385416666667,0.1947916666666667,0.5513333333333333,0.5906666666666667,0.03933333333333333,0.5949899608896733,0.7360175670948295
trillionlabs/Tri-0.5B-Base,mean,6,zh,accuracy,0.6888020833333334,0.94765625,0.2588541666666666,0.56,0.5766666666666667,0.016666666666666607,0.5949899608896733,0.7360175670948295
trillionlabs/Tri-0.5B-Base,mean,12,ja,accuracy,0.4368489583333333,0.6927734375,0.25592447916666666,0.572,0.6286666666666667,0.056666666666666754,0.5949899608896733,0.7360175670948295
trillionlabs/Tri-0.5B-Base,mean,12,ko,accuracy,0.4231770833333333,0.7202473958333333,0.2970703125,0.5753333333333334,0.6173333333333333,0.041999999999999926,0.5949899608896733,0.7360175670948295
trillionlabs/Tri-0.5B-Base,mean,12,zh,accuracy,0.3697916666666667,0.5295572916666667,0.15976562499999997,0.5273333333333333,0.5686666666666667,0.04133333333333333,0.5949899608896733,0.7360175670948295
trillionlabs/Tri-0.5B-Base,mean,24,ja,accuracy,0.042317708333333336,0.7631510416666667,0.7208333333333333,0.302,0.494,0.192,0.5949899608896733,0.7360175670948295
trillionlabs/Tri-0.5B-Base,mean,24,ko,accuracy,0.055338541666666664,0.7178385416666667,0.6625000000000001,0.2926666666666667,0.534,0.24133333333333334,0.5949899608896733,0.7360175670948295
trillionlabs/Tri-0.5B-Base,mean,24,zh,accuracy,0.0625,0.7314453125,0.6689453125,0.2966666666666667,0.5266666666666666,0.22999999999999993,0.5949899608896733,0.7360175670948295
trillionlabs/Tri-0.5B-Base,last_token,0,ja,macro_f1,0.001953125,0.001953125,0.0,0.0375859576624173,0.04589682763487487,0.008310869972457571,0.5960412023127962,0.7528288316813024
trillionlabs/Tri-0.5B-Base,last_token,0,ko,macro_f1,0.001953125,0.001953125,0.0,0.030252093441953887,0.026982982340594104,-0.0032691111013597833,0.5960412023127962,0.7528288316813024
trillionlabs/Tri-0.5B-Base,last_token,0,zh,macro_f1,0.0032552083333333335,0.0032552083333333335,0.0,0.06875581676141101,0.07462917400130505,0.005873357239894031,0.5960412023127962,0.7528288316813024
