model,layer,normalized_depth,pooling,source_language,target_language,metric,n_train,n_eval,condition,status,value
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,ko,r1,256,512,raw,ok,0.025390625
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,ko,r1,256,512,aligned,ok,0.01171875
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,ko,r1,256,512,delta,ok,-0.013671875
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,ko,r5,256,512,raw,ok,0.0546875
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,ko,r5,256,512,aligned,ok,0.056640625
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,ko,r5,256,512,delta,ok,0.001953125
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,ko,r10,256,512,raw,ok,0.0859375
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,ko,r10,256,512,aligned,ok,0.0859375
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,ko,r10,256,512,delta,ok,0.0
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,ko,mrr,256,512,raw,ok,0.05084175271561931
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,ko,mrr,256,512,aligned,ok,0.04270410548058484
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,ko,mrr,256,512,delta,ok,-0.008137647235034469
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,en,r1,256,512,raw,ok,0.021484375
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,en,r1,256,512,aligned,ok,0.013671875
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,en,r1,256,512,delta,ok,-0.0078125
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,en,r5,256,512,raw,ok,0.05859375
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,en,r5,256,512,aligned,ok,0.052734375
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,en,r5,256,512,delta,ok,-0.005859375
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,en,r10,256,512,raw,ok,0.08984375
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,en,r10,256,512,aligned,ok,0.087890625
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,en,r10,256,512,delta,ok,-0.001953125
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,en,mrr,256,512,raw,ok,0.051443219869696216
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,en,mrr,256,512,aligned,ok,0.0429410282583812
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,en,mrr,256,512,delta,ok,-0.008502191611315019
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,ja,r1,256,512,raw,ok,0.001953125
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,ja,r1,256,512,aligned,ok,0.017578125
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,ja,r1,256,512,delta,ok,0.015625
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,ja,r5,256,512,raw,ok,0.01171875
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,ja,r5,256,512,aligned,ok,0.048828125
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,ja,r5,256,512,delta,ok,0.037109375
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,ja,r10,256,512,raw,ok,0.02734375
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,ja,r10,256,512,aligned,ok,0.09375
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,ja,r10,256,512,delta,ok,0.06640625
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,ja,mrr,256,512,raw,ok,0.017094826017448404
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,ja,mrr,256,512,aligned,ok,0.04402762276522483
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,ja,mrr,256,512,delta,ok,0.026932796747776426
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,en,r1,256,512,raw,ok,0.001953125
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,en,r1,256,512,aligned,ok,0.015625
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,en,r1,256,512,delta,ok,0.013671875
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,en,r5,256,512,raw,ok,0.021484375
