model,layer,normalized_depth,pooling,condition,seed,source_language,target_language,metric,value,n_train,n_eval
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,zh,ja,r1,0.498046875,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,zh,ja,mrr,0.5829660900470761,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,,,language_probe_accuracy,0.99609375,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,,,language_probe_macro_f1,0.9960946962328077,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,en,ko,r1,0.705078125,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,en,ko,mrr,0.7694642743009976,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,en,ja,r1,0.4765625,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,en,ja,mrr,0.5699686406132287,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,en,zh,r1,0.783203125,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,en,zh,mrr,0.8419150437458383,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,ko,en,r1,0.69921875,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,ko,en,mrr,0.7678995989224184,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,ko,ja,r1,0.546875,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,ko,ja,mrr,0.6175483160191514,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,ko,zh,r1,0.60546875,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,ko,zh,mrr,0.6886356880922423,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,ja,en,r1,0.666015625,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,ja,en,mrr,0.7453469881908561,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,ja,ko,r1,0.650390625,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,ja,ko,mrr,0.7315108212776543,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,ja,zh,r1,0.599609375,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,ja,zh,mrr,0.6967636964435004,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,zh,en,r1,0.78125,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,zh,en,mrr,0.8299916024351052,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,zh,ko,r1,0.59375,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,zh,ko,mrr,0.6749788750671541,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,zh,ja,r1,0.41796875,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,zh,ja,mrr,0.518959951046046,1024,2048
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,normal,,,,language_probe_accuracy,0.99755859375,1024,2048
