model,layer,relative_position,source_language,target_language,metric,value,n
Qwen/Qwen2.5-0.5B,24,0.75,ja,en,r1,0.017578125,512
Qwen/Qwen2.5-0.5B,24,0.75,ja,ko,r1,0.005859375,512
Qwen/Qwen2.5-0.5B,24,0.75,ja,zh,r1,0.00390625,512
Qwen/Qwen2.5-0.5B,24,0.75,zh,en,r1,0.05078125,512
Qwen/Qwen2.5-0.5B,24,0.75,zh,ko,r1,0.00390625,512
Qwen/Qwen2.5-0.5B,24,0.75,zh,ja,r1,0.0078125,512
Qwen/Qwen2.5-0.5B,18,1.0,en,ko,r1,0.529296875,512
Qwen/Qwen2.5-0.5B,18,1.0,en,ja,r1,0.578125,512
Qwen/Qwen2.5-0.5B,18,1.0,en,zh,r1,0.7109375,512
Qwen/Qwen2.5-0.5B,18,1.0,ko,en,r1,0.376953125,512
Qwen/Qwen2.5-0.5B,18,1.0,ko,ja,r1,0.671875,512
Qwen/Qwen2.5-0.5B,18,1.0,ko,zh,r1,0.392578125,512
Qwen/Qwen2.5-0.5B,18,1.0,ja,en,r1,0.44140625,512
