model,layer,normalized_depth,pooling,record_type,basis,k,seed,source_language,target_language,metric,value,n_train,n_eval
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,1,zh,ko,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,1,zh,ko,mrr,0.014148388712419364,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,1,zh,ja,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,1,zh,ja,mrr,0.00948793263750745,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,language_probe,random,1,1,,,accuracy,0.5234375,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,language_probe,random,1,1,,,macro_f1,0.3977491165467196,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,2,en,ko,r1,0.00390625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,2,en,ko,mrr,0.019441872570586206,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,2,en,ja,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,2,en,ja,mrr,0.013258662025803773,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,2,en,zh,r1,0.009765625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,2,en,zh,mrr,0.028651057012931073,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,2,ko,en,r1,0.00390625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,2,ko,en,mrr,0.018958783171893225,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,2,ko,ja,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,2,ko,ja,mrr,0.013385940180329167,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,2,ko,zh,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,2,ko,zh,mrr,0.01788778014205425,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,2,ja,en,r1,0.0,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,2,ja,en,mrr,0.010469011841735343,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,2,ja,ko,r1,0.0,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,2,ja,ko,mrr,0.011253741518837714,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,2,ja,zh,r1,0.0,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,2,ja,zh,mrr,0.00587032964686158,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,2,zh,en,r1,0.01171875,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,2,zh,en,mrr,0.030568982785589886,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,2,zh,ko,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,2,zh,ko,mrr,0.01916475319175863,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,2,zh,ja,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,2,zh,ja,mrr,0.009384378549101525,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,language_probe,random,1,2,,,accuracy,0.52392578125,1024,2048
